index,statefips,countyfips,avghouseholdsize,geography
604,19,107,2.33,"Keokuk County, Iowa"
605,19,109,2.23,"Kossuth County, Iowa"
606,19,111,2.4,"Lee County, Iowa"
607,19,113,2.42,"Linn County, Iowa"
608,19,115,2.58,"Louisa County, Iowa"
609,19,117,2.34,"Lucas County, Iowa"
610,19,119,2.57,"Lyon County, Iowa"
611,19,121,2.48,"Madison County, Iowa"
612,19,123,2.41,"Mahaska County, Iowa"
613,19,125,2.43,"Marion County, Iowa"
614,19,127,2.6,"Marshall County, Iowa"
615,19,129,2.63,"Mills County, Iowa"
616,19,131,2.41,"Mitchell County, Iowa"
617,19,133,2.19,"Monona County, Iowa"
618,19,135,2.37,"Monroe County, Iowa"
619,19,137,2.22,"Montgomery County, Iowa"
620,19,139,2.59,"Muscatine County, Iowa"
621,19,141,2.28,"O'Brien County, Iowa"
622,19,143,2.28,"Osceola County, Iowa"
623,19,145,2.34,"Page County, Iowa"
624,19,147,2.23,"Palo Alto County, Iowa"
625,19,149,2.45,"Plymouth County, Iowa"
626,19,151,2.18,"Pocahontas County, Iowa"
627,19,153,2.5,"Polk County, Iowa"
628,19,155,2.48,"Pottawattamie County, Iowa"
629,19,157,2.31,"Poweshiek County, Iowa"
630,19,159,2.4,"Ringgold County, Iowa"
631,19,161,2.25,"Sac County, Iowa"
632,19,163,2.46,"Scott County, Iowa"
633,19,165,2.32,"Shelby County, Iowa"
634,19,167,2.73,"Sioux County, Iowa"
635,19,169,2.35,"Story County, Iowa"
636,19,171,2.51,"Tama County, Iowa"
637,19,173,2.23,"Taylor County, Iowa"
638,19,175,2.3,"Union County, Iowa"
639,19,177,2.49,"Van Buren County, Iowa"
640,19,179,2.38,"Wapello County, Iowa"
641,19,181,2.54,"Warren County, Iowa"
642,19,183,2.43,"Washington County, Iowa"
643,19,185,2.41,"Wayne County, Iowa"
644,19,187,2.27,"Webster County, Iowa"
645,19,189,2.2,"Winnebago County, Iowa"
646,19,191,2.24,"Winneshiek County, Iowa"
647,19,193,2.58,"Woodbury County, Iowa"
648,19,195,2.35,"Worth County, Iowa"
649,19,197,2.31,"Wright County, Iowa"
650,16,1,2.61,"Ada County, Idaho"
651,16,3,2.39,"Adams County, Idaho"
652,16,5,2.67,"Bannock County, Idaho"
653,16,7,2.51,"Bear Lake County, Idaho"
654,16,9,2.45,"Benewah County, Idaho"
655,16,11,3.07,"Bingham County, Idaho"
656,16,13,2.35,"Blaine County, Idaho"
657,16,15,2.29,"Boise County, Idaho"
658,16,17,2.36,"Bonner County, Idaho"
659,16,19,2.9,"Bonneville County, Idaho"
660,16,21,2.55,"Boundary County, Idaho"
661,16,23,2.59,"Butte County, Idaho"
662,16,25,2.42,"Camas County, Idaho"
663,16,27,2.98,"Canyon County, Idaho"
664,16,29,2.57,"Caribou County, Idaho"
665,16,31,2.96,"Cassia County, Idaho"
666,16,33,3.22,"Clark County, Idaho"
667,16,35,2.05,"Clearwater County, Idaho"
668,16,37,2.33,"Custer County, Idaho"
669,16,39,2.6,"Elmore County, Idaho"
670,16,41,3.03,"Franklin County, Idaho"
671,16,43,2.75,"Fremont County, Idaho"
672,16,45,2.63,"Gem County, Idaho"
673,16,47,2.84,"Gooding County, Idaho"
674,16,49,2.38,"Idaho County, Idaho"
675,16,51,3.3,"Jefferson County, Idaho"
676,16,53,2.95,"Jerome County, Idaho"
677,16,55,2.54,"Kootenai County, Idaho"
678,16,57,2.33,"Latah County, Idaho"
679,16,59,2.03,"Lemhi County, Idaho"
680,16,61,2.31,"Lewis County, Idaho"
681,16,63,3.21,"Lincoln County, Idaho"
682,16,65,3.6,"Madison County, Idaho"
683,16,67,2.83,"Minidoka County, Idaho"
684,16,69,2.4,"Nez Perce County, Idaho"
685,16,71,2.66,"Oneida County, Idaho"
686,16,73,2.85,"Owyhee County, Idaho"
687,16,75,2.77,"Payette County, Idaho"
688,16,77,2.99,"Power County, Idaho"
689,16,79,2.16,"Shoshone County, Idaho"
690,16,81,2.85,"Teton County, Idaho"
691,16,83,2.71,"Twin Falls County, Idaho"
692,16,85,2.99,"Valley County, Idaho"
693,16,87,2.59,"Washington County, Idaho"
694,17,1,2.44,"Adams County, Illinois"
695,17,3,2.65,"Alexander County, Illinois"
696,17,5,2.57,"Bond County, Illinois"
697,17,7,2.95,"Boone County, Illinois"
698,17,9,2.43,"Brown County, Illinois"
699,17,11,2.4,"Bureau County, Illinois"
700,17,13,2.37,"Calhoun County, Illinois"
701,17,15,2.22,"Carroll County, Illinois"
702,17,17,2.51,"Cass County, Illinois"
703,17,19,2.38,"Champaign County, Illinois"
704,17,21,2.31,"Christian County, Illinois"
705,17,23,2.4,"Clark County, Illinois"
706,17,25,2.39,"Clay County, Illinois"
707,17,27,2.59,"Clinton County, Illinois"
708,17,29,2.31,"Coles County, Illinois"
709,17,31,2.65,"Cook County, Illinois"
710,17,33,2.37,"Crawford County, Illinois"
711,17,35,2.51,"Cumberland County, Illinois"
712,17,37,2.65,"DeKalb County, Illinois"
713,17,39,2.36,"De Witt County, Illinois"
714,17,41,2.58,"Douglas County, Illinois"
715,17,43,2.72,"DuPage County, Illinois"
716,17,45,2.29,"Edgar County, Illinois"
717,17,47,2.37,"Edwards County, Illinois"
718,17,49,2.54,"Effingham County, Illinois"
719,17,51,2.63,"Fayette County, Illinois"
720,17,53,2.39,"Ford County, Illinois"
721,17,55,2.41,"Franklin County, Illinois"
722,17,57,2.37,"Fulton County, Illinois"
723,17,59,2.23,"Gallatin County, Illinois"
724,17,61,2.43,"Greene County, Illinois"
725,17,63,2.7,"Grundy County, Illinois"
726,17,65,2.36,"Hamilton County, Illinois"
727,17,67,2.35,"Hancock County, Illinois"
728,17,69,2.49,"Hardin County, Illinois"
729,17,71,2.26,"Henderson County, Illinois"
730,17,73,2.44,"Henry County, Illinois"
731,17,75,2.42,"Iroquois County, Illinois"
732,17,77,2.36,"Jackson County, Illinois"
733,17,79,2.53,"Jasper County, Illinois"
734,17,81,2.39,"Jefferson County, Illinois"
735,17,83,2.45,"Jersey County, Illinois"
736,17,85,2.33,"Jo Daviess County, Illinois"
737,17,87,2.48,"Johnson County, Illinois"
738,17,89,3.01,"Kane County, Illinois"
739,17,91,2.61,"Kankakee County, Illinois"
740,17,93,3.11,"Kendall County, Illinois"
741,17,95,2.25,"Knox County, Illinois"
742,17,97,2.83,"Lake County, Illinois"
743,17,99,2.48,"LaSalle County, Illinois"
744,17,101,2.22,"Lawrence County, Illinois"
745,17,103,2.37,"Lee County, Illinois"
746,17,105,2.32,"Livingston County, Illinois"
747,17,107,2.17,"Logan County, Illinois"
748,17,109,2.29,"McDonough County, Illinois"
749,17,111,2.79,"McHenry County, Illinois"
750,17,113,2.53,"McLean County, Illinois"
751,17,115,2.35,"Macon County, Illinois"
752,17,117,2.42,"Macoupin County, Illinois"
753,17,119,2.45,"Madison County, Illinois"
754,17,121,2.4,"Marion County, Illinois"
755,17,123,2.38,"Marshall County, Illinois"
756,17,125,2.27,"Mason County, Illinois"
757,17,127,2.45,"Massac County, Illinois"
758,17,129,2.42,"Menard County, Illinois"
759,17,131,2.4,"Mercer County, Illinois"
760,17,133,2.62,"Monroe County, Illinois"
761,17,135,2.17,"Montgomery County, Illinois"
762,17,137,2.29,"Morgan County, Illinois"
763,17,139,2.51,"Moultrie County, Illinois"
764,17,141,2.5,"Ogle County, Illinois"
765,17,143,2.39,"Peoria County, Illinois"
766,17,145,2.46,"Perry County, Illinois"
767,17,147,2.47,"Piatt County, Illinois"
768,17,149,2.34,"Pike County, Illinois"
769,17,151,2.52,"Pope County, Illinois"
770,17,153,2.5,"Pulaski County, Illinois"
771,17,155,2.37,"Putnam County, Illinois"
772,17,157,2.49,"Randolph County, Illinois"
773,17,159,2.43,"Richland County, Illinois"
774,17,161,2.36,"Rock Island County, Illinois"
775,17,163,2.57,"St. Clair County, Illinois"
776,17,165,2.43,"Saline County, Illinois"
777,17,167,2.35,"Sangamon County, Illinois"
778,17,169,2.2,"Schuyler County, Illinois"
779,17,171,2.42,"Scott County, Illinois"
780,17,173,2.42,"Shelby County, Illinois"
781,17,175,2.41,"Stark County, Illinois"
782,17,177,2.37,"Stephenson County, Illinois"
783,17,179,2.45,"Tazewell County, Illinois"
784,17,181,2.53,"Union County, Illinois"
785,17,183,2.47,"Vermilion County, Illinois"
786,17,185,2.37,"Wabash County, Illinois"
787,17,187,2.42,"Warren County, Illinois"
788,17,189,2.46,"Washington County, Illinois"
789,17,191,2.34,"Wayne County, Illinois"
790,17,193,2.28,"White County, Illinois"
791,17,195,2.4,"Whiteside County, Illinois"
792,17,197,3.02,"Will County, Illinois"
793,17,199,2.43,"Williamson County, Illinois"
794,17,201,2.51,"Winnebago County, Illinois"
795,17,203,2.65,"Woodford County, Illinois"
796,18,1,2.8,"Adams County, Indiana"
797,18,3,2.55,"Allen County, Indiana"
798,18,5,2.57,"Bartholomew County, Indiana"
799,18,7,2.52,"Benton County, Indiana"
800,18,9,2.35,"Blackford County, Indiana"
801,18,11,2.61,"Boone County, Indiana"
802,18,13,2.44,"Brown County, Indiana"
803,18,15,2.55,"Carroll County, Indiana"
804,18,17,2.57,"Cass County, Indiana"
805,18,19,2.59,"Clark County, Indiana"
806,18,21,2.54,"Clay County, Indiana"
807,18,23,2.76,"Clinton County, Indiana"
808,18,25,2.56,"Crawford County, Indiana"
809,18,27,2.78,"Daviess County, Indiana"
810,18,29,2.63,"Dearborn County, Indiana"
811,18,31,2.57,"Decatur County, Indiana"
812,18,33,2.58,"DeKalb County, Indiana"
813,18,35,2.4,"Delaware County, Indiana"
814,18,37,2.55,"Dubois County, Indiana"
815,18,39,2.8,"Elkhart County, Indiana"
816,18,41,2.5,"Fayette County, Indiana"
817,18,43,2.57,"Floyd County, Indiana"
818,18,45,2.4,"Fountain County, Indiana"
819,18,47,2.57,"Franklin County, Indiana"
820,18,49,2.55,"Fulton County, Indiana"
821,18,51,2.51,"Gibson County, Indiana"
822,18,53,2.39,"Grant County, Indiana"
823,18,55,2.54,"Greene County, Indiana"
824,18,57,2.73,"Hamilton County, Indiana"
825,18,59,2.68,"Hancock County, Indiana"
826,18,61,2.67,"Harrison County, Indiana"
827,18,63,2.76,"Hendricks County, Indiana"
828,18,65,2.54,"Henry County, Indiana"
829,18,67,2.37,"Howard County, Indiana"
830,18,69,2.44,"Huntington County, Indiana"
831,18,71,2.57,"Jackson County, Indiana"
832,18,73,2.71,"Jasper County, Indiana"
833,18,75,2.58,"Jay County, Indiana"
834,18,77,2.37,"Jefferson County, Indiana"
835,18,79,2.62,"Jennings County, Indiana"
836,18,81,2.69,"Johnson County, Indiana"
837,18,83,2.4,"Knox County, Indiana"
838,18,85,2.58,"Kosciusko County, Indiana"
839,18,87,3.22,"LaGrange County, Indiana"
840,18,89,2.65,"Lake County, Indiana"
841,18,91,2.38,"LaPorte County, Indiana"
842,18,93,2.44,"Lawrence County, Indiana"
843,18,95,2.41,"Madison County, Indiana"
844,18,97,2.5,"Marion County, Indiana"
845,18,99,2.67,"Marshall County, Indiana"
846,18,101,2.42,"Martin County, Indiana"
847,18,103,2.6,"Miami County, Indiana"
848,18,105,2.36,"Monroe County, Indiana"
849,18,107,2.52,"Montgomery County, Indiana"
850,18,109,2.68,"Morgan County, Indiana"
851,18,111,2.56,"Newton County, Indiana"
852,18,113,2.58,"Noble County, Indiana"
853,18,115,2.5,"Ohio County, Indiana"
854,18,117,2.54,"Orange County, Indiana"
855,18,119,2.46,"Owen County, Indiana"
856,18,121,2.58,"Parke County, Indiana"
857,18,123,2.42,"Perry County, Indiana"
858,18,125,2.49,"Pike County, Indiana"
859,18,127,2.62,"Porter County, Indiana"
860,18,129,2.51,"Posey County, Indiana"
861,18,131,2.48,"Pulaski County, Indiana"
862,18,133,2.52,"Putnam County, Indiana"
863,18,135,2.39,"Randolph County, Indiana"
864,18,137,2.58,"Ripley County, Indiana"
865,18,139,2.42,"Rush County, Indiana"
866,18,141,2.5,"St. Joseph County, Indiana"
867,18,143,2.61,"Scott County, Indiana"
868,18,145,2.54,"Shelby County, Indiana"
869,18,147,2.58,"Spencer County, Indiana"
870,18,149,2.62,"Starke County, Indiana"
871,18,151,2.44,"Steuben County, Indiana"
872,18,153,2.47,"Sullivan County, Indiana"
873,18,155,2.55,"Switzerland County, Indiana"
874,18,157,2.46,"Tippecanoe County, Indiana"
875,18,159,2.4,"Tipton County, Indiana"
876,18,161,2.44,"Union County, Indiana"
877,18,163,2.35,"Vanderburgh County, Indiana"
878,18,165,2.39,"Vermillion County, Indiana"
879,18,167,2.45,"Vigo County, Indiana"
880,18,169,2.36,"Wabash County, Indiana"
881,18,171,2.5,"Warren County, Indiana"
882,18,173,2.63,"Warrick County, Indiana"
883,18,175,2.62,"Washington County, Indiana"
884,18,177,2.4,"Wayne County, Indiana"
885,18,179,2.52,"Wells County, Indiana"
886,18,181,2.53,"White County, Indiana"
887,18,183,2.5,"Whitley County, Indiana"
888,20,1,2.39,"Allen County, Kansas"
889,20,3,2.37,"Anderson County, Kansas"
890,20,5,2.53,"Atchison County, Kansas"
891,20,7,2.38,"Barber County, Kansas"
892,20,9,2.38,"Barton County, Kansas"
893,20,11,2.54,"Bourbon County, Kansas"
894,20,13,2.38,"Brown County, Kansas"
895,20,15,2.63,"Butler County, Kansas"
896,20,17,2.34,"Chase County, Kansas"
897,20,19,2.21,"Chautauqua County, Kansas"
898,20,21,2.59,"Cherokee County, Kansas"
899,20,23,2.09,"Cheyenne County, Kansas"
900,20,25,2.25,"Clark County, Kansas"
901,20,27,2.45,"Clay County, Kansas"
902,20,29,2.24,"Cloud County, Kansas"
903,20,31,2.33,"Coffey County, Kansas"
904,20,33,2.48,"Comanche County, Kansas"
905,20,35,2.48,"Cowley County, Kansas"
906,20,37,2.49,"Crawford County, Kansas"
907,20,39,1.91,"Decatur County, Kansas"
908,20,41,2.45,"Dickinson County, Kansas"
909,20,43,2.32,"Doniphan County, Kansas"
910,20,45,2.43,"Douglas County, Kansas"
911,20,47,2.27,"Edwards County, Kansas"
912,20,49,2.1,"Elk County, Kansas"
913,20,51,2.35,"Ellis County, Kansas"
914,20,53,2.08,"Ellsworth County, Kansas"
915,20,55,2.9,"Finney County, Kansas"
916,20,57,3.04,"Ford County, Kansas"
917,20,59,2.56,"Franklin County, Kansas"
918,20,61,2.83,"Geary County, Kansas"
919,20,63,2.25,"Gove County, Kansas"
920,20,65,2.12,"Graham County, Kansas"
921,20,67,2.86,"Grant County, Kansas"
922,20,69,2.78,"Gray County, Kansas"
923,20,71,2.46,"Greeley County, Kansas"
924,20,73,2.23,"Greenwood County, Kansas"
925,20,75,2.59,"Hamilton County, Kansas"
926,20,77,2.34,"Harper County, Kansas"
927,20,79,2.47,"Harvey County, Kansas"
928,20,81,2.93,"Haskell County, Kansas"
929,20,83,2.36,"Hodgeman County, Kansas"
930,20,85,2.51,"Jackson County, Kansas"
931,20,87,2.47,"Jefferson County, Kansas"
932,20,89,2.1,"Jewell County, Kansas"
933,20,91,2.56,"Johnson County, Kansas"
934,20,93,2.81,"Kearny County, Kansas"
935,20,95,2.54,"Kingman County, Kansas"
936,20,97,2.21,"Kiowa County, Kansas"
937,20,99,2.44,"Labette County, Kansas"
938,20,101,2.07,"Lane County, Kansas"
939,20,103,2.7,"Leavenworth County, Kansas"
940,20,105,2.31,"Lincoln County, Kansas"
941,20,107,2.26,"Linn County, Kansas"
942,20,109,2.21,"Logan County, Kansas"
943,20,111,2.43,"Lyon County, Kansas"
944,20,113,2.37,"McPherson County, Kansas"
945,20,115,2.4,"Marion County, Kansas"
946,20,117,2.27,"Marshall County, Kansas"
947,20,119,2.51,"Meade County, Kansas"
948,20,121,2.55,"Miami County, Kansas"
949,20,123,2.25,"Mitchell County, Kansas"
950,20,125,2.47,"Montgomery County, Kansas"
951,20,127,2.36,"Morris County, Kansas"
952,20,129,2.53,"Morton County, Kansas"
953,20,131,2.32,"Nemaha County, Kansas"
954,20,133,2.47,"Neosho County, Kansas"
955,20,135,2.18,"Ness County, Kansas"
956,20,137,2.24,"Norton County, Kansas"
957,20,139,2.44,"Osage County, Kansas"
958,20,141,2.08,"Osborne County, Kansas"
959,20,143,2.39,"Ottawa County, Kansas"
960,20,145,2.32,"Pawnee County, Kansas"
961,20,147,2.29,"Phillips County, Kansas"
962,20,149,2.72,"Pottawatomie County, Kansas"
963,20,151,2.39,"Pratt County, Kansas"
964,20,153,2.07,"Rawlins County, Kansas"
965,20,155,2.44,"Reno County, Kansas"
966,20,157,2.07,"Republic County, Kansas"
967,20,159,2.42,"Rice County, Kansas"
968,20,161,2.49,"Riley County, Kansas"
969,20,163,2.28,"Rooks County, Kansas"
970,20,165,2.1,"Rush County, Kansas"
971,20,167,2.12,"Russell County, Kansas"
972,20,169,2.42,"Saline County, Kansas"
973,20,171,2.21,"Scott County, Kansas"
974,20,173,2.59,"Sedgwick County, Kansas"
975,20,175,3.05,"Seward County, Kansas"
976,20,177,2.44,"Shawnee County, Kansas"
977,20,179,2.21,"Sheridan County, Kansas"
978,20,181,2.14,"Sherman County, Kansas"
979,20,183,2.21,"Smith County, Kansas"
980,20,185,2.35,"Stafford County, Kansas"
981,20,187,2.58,"Stanton County, Kansas"
982,20,189,2.84,"Stevens County, Kansas"
983,20,191,2.55,"Sumner County, Kansas"
984,20,193,2.39,"Thomas County, Kansas"
985,20,195,2.21,"Trego County, Kansas"
986,20,197,2.59,"Wabaunsee County, Kansas"
987,20,199,2.52,"Wallace County, Kansas"
988,20,201,2.27,"Washington County, Kansas"
989,20,203,2.79,"Wichita County, Kansas"
990,20,205,2.37,"Wilson County, Kansas"
991,20,207,2.08,"Woodson County, Kansas"
992,20,209,2.71,"Wyandotte County, Kansas"
993,21,1,2.5,"Adair County, Kentucky"
994,21,3,2.59,"Allen County, Kentucky"
995,21,5,2.56,"Anderson County, Kentucky"
996,21,7,2.48,"Ballard County, Kentucky"
997,21,9,2.48,"Barren County, Kentucky"
998,21,11,2.76,"Bath County, Kentucky"
999,21,13,2.44,"Bell County, Kentucky"
1000,21,15,2.77,"Boone County, Kentucky"
1001,21,17,2.51,"Bourbon County, Kentucky"
1002,21,19,2.41,"Boyd County, Kentucky"
1003,21,21,2.42,"Boyle County, Kentucky"
1004,21,23,2.54,"Bracken County, Kentucky"
1005,21,25,2.41,"Breathitt County, Kentucky"
1006,21,27,2.71,"Breckinridge County, Kentucky"
1007,21,29,2.71,"Bullitt County, Kentucky"
1008,21,31,2.44,"Butler County, Kentucky"
1009,21,33,2.39,"Caldwell County, Kentucky"
1010,21,35,2.35,"Calloway County, Kentucky"
1011,21,37,2.49,"Campbell County, Kentucky"
1012,21,39,2.39,"Carlisle County, Kentucky"
1013,21,41,2.63,"Carroll County, Kentucky"
1014,21,43,2.54,"Carter County, Kentucky"
1015,21,45,2.44,"Casey County, Kentucky"
1016,21,47,2.67,"Christian County, Kentucky"
1017,21,49,2.49,"Clark County, Kentucky"
1018,21,51,2.53,"Clay County, Kentucky"
1019,21,53,2.6,"Clinton County, Kentucky"
1020,21,55,2.4,"Crittenden County, Kentucky"
1021,21,57,2.45,"Cumberland County, Kentucky"
1022,21,59,2.48,"Daviess County, Kentucky"
1023,21,61,2.51,"Edmonson County, Kentucky"
1024,21,63,2.44,"Elliott County, Kentucky"
1025,21,65,2.49,"Estill County, Kentucky"
1026,21,67,2.35,"Fayette County, Kentucky"
1027,21,69,2.57,"Fleming County, Kentucky"
1028,21,71,2.45,"Floyd County, Kentucky"
1029,21,73,2.28,"Franklin County, Kentucky"
1030,21,75,2.33,"Fulton County, Kentucky"
1031,21,77,2.73,"Gallatin County, Kentucky"
1032,21,79,2.55,"Garrard County, Kentucky"
1033,21,81,2.91,"Grant County, Kentucky"
1034,21,83,2.56,"Graves County, Kentucky"
1035,21,85,2.6,"Grayson County, Kentucky"
1036,21,87,2.46,"Green County, Kentucky"
1037,21,89,2.54,"Greenup County, Kentucky"
1038,21,91,2.62,"Hancock County, Kentucky"
1039,21,93,2.58,"Hardin County, Kentucky"
1040,21,95,2.43,"Harlan County, Kentucky"
1041,21,97,2.57,"Harrison County, Kentucky"
1042,21,99,2.49,"Hart County, Kentucky"
1043,21,101,2.41,"Henderson County, Kentucky"
1044,21,103,2.57,"Henry County, Kentucky"
1045,21,105,2.29,"Hickman County, Kentucky"
1046,21,107,2.45,"Hopkins County, Kentucky"
1047,21,109,2.39,"Jackson County, Kentucky"
1048,21,111,2.41,"Jefferson County, Kentucky"
1049,21,113,2.65,"Jessamine County, Kentucky"
1050,21,115,2.53,"Johnson County, Kentucky"
1051,21,117,2.58,"Kenton County, Kentucky"
1052,21,119,2.57,"Knott County, Kentucky"
1053,21,121,2.5,"Knox County, Kentucky"
1054,21,123,2.6,"Larue County, Kentucky"
1055,21,125,2.54,"Laurel County, Kentucky"
1056,21,127,2.6,"Lawrence County, Kentucky"
1057,21,129,2.2,"Lee County, Kentucky"
1058,21,131,2.59,"Leslie County, Kentucky"
1059,21,133,2.44,"Letcher County, Kentucky"
1060,21,135,2.54,"Lewis County, Kentucky"
1061,21,137,2.48,"Lincoln County, Kentucky"
1062,21,139,2.44,"Livingston County, Kentucky"
1063,21,141,2.44,"Logan County, Kentucky"
1064,21,143,2.19,"Lyon County, Kentucky"
1065,21,145,2.33,"McCracken County, Kentucky"
1066,21,147,2.56,"McCreary County, Kentucky"
1067,21,149,2.5,"McLean County, Kentucky"
1068,21,151,2.49,"Madison County, Kentucky"
1069,21,153,2.57,"Magoffin County, Kentucky"
1070,21,155,2.51,"Marion County, Kentucky"
1071,21,157,2.43,"Marshall County, Kentucky"
1072,21,159,2.57,"Martin County, Kentucky"
1073,21,161,2.52,"Mason County, Kentucky"
1074,21,163,2.73,"Meade County, Kentucky"
1075,21,165,2.56,"Menifee County, Kentucky"
1076,21,167,2.4,"Mercer County, Kentucky"
1077,21,169,2.51,"Metcalfe County, Kentucky"
1078,21,171,2.39,"Monroe County, Kentucky"
1079,21,173,2.61,"Montgomery County, Kentucky"
1080,21,175,2.45,"Morgan County, Kentucky"
1081,21,177,2.6,"Muhlenberg County, Kentucky"
1082,21,179,2.62,"Nelson County, Kentucky"
1083,21,181,2.47,"Nicholas County, Kentucky"
1084,21,183,2.7,"Ohio County, Kentucky"
1085,21,185,2.98,"Oldham County, Kentucky"
1086,21,187,2.59,"Owen County, Kentucky"
1087,21,189,2.56,"Owsley County, Kentucky"
1088,21,191,2.67,"Pendleton County, Kentucky"
1089,21,193,2.47,"Perry County, Kentucky"
1090,21,195,2.38,"Pike County, Kentucky"
1091,21,197,2.56,"Powell County, Kentucky"
1092,21,199,2.45,"Pulaski County, Kentucky"
1093,21,201,2.31,"Robertson County, Kentucky"
1094,21,203,2.51,"Rockcastle County, Kentucky"
1095,21,205,2.44,"Rowan County, Kentucky"
1096,21,207,2.48,"Russell County, Kentucky"
1097,21,209,2.65,"Scott County, Kentucky"
1098,21,211,2.67,"Shelby County, Kentucky"
1099,21,213,2.56,"Simpson County, Kentucky"
1100,21,215,2.72,"Spencer County, Kentucky"
1101,21,217,2.46,"Taylor County, Kentucky"
1102,21,219,2.7,"Todd County, Kentucky"
1103,21,221,2.35,"Trigg County, Kentucky"
1104,21,223,2.46,"Trimble County, Kentucky"
1105,21,225,2.43,"Union County, Kentucky"
1106,21,227,2.48,"Warren County, Kentucky"
1107,21,229,2.56,"Washington County, Kentucky"
1108,21,231,2.57,"Wayne County, Kentucky"
1109,21,233,2.54,"Webster County, Kentucky"
1110,21,235,2.6,"Whitley County, Kentucky"
1111,21,237,2.45,"Wolfe County, Kentucky"
1112,21,239,2.55,"Woodford County, Kentucky"
1113,22,1,2.7,"Acadia Parish, Louisiana"
1114,22,3,2.66,"Allen Parish, Louisiana"
1115,22,5,2.84,"Ascension Parish, Louisiana"
1116,22,7,2.64,"Assumption Parish, Louisiana"
1117,22,9,2.52,"Avoyelles Parish, Louisiana"
1118,22,11,2.69,"Beauregard Parish, Louisiana"
1119,22,13,2.35,"Bienville Parish, Louisiana"
1120,22,15,2.57,"Bossier Parish, Louisiana"
1121,22,17,2.55,"Caddo Parish, Louisiana"
1122,22,19,2.55,"Calcasieu Parish, Louisiana"
1123,22,21,2.48,"Caldwell Parish, Louisiana"
1124,22,23,2.57,"Cameron Parish, Louisiana"
1125,22,25,2.48,"Catahoula Parish, Louisiana"
1126,22,27,2.51,"Claiborne Parish, Louisiana"
1127,22,29,2.33,"Concordia Parish, Louisiana"
1128,22,31,2.61,"De Soto Parish, Louisiana"
1129,22,33,2.57,"East Baton Rouge Parish, Louisiana"
1130,22,35,2.26,"East Carroll Parish, Louisiana"
1131,22,37,2.43,"East Feliciana Parish, Louisiana"
1132,22,39,2.65,"Evangeline Parish, Louisiana"
1133,22,41,2.54,"Franklin Parish, Louisiana"
1134,22,43,2.63,"Grant Parish, Louisiana"
1135,22,45,2.77,"Iberia Parish, Louisiana"
1136,22,47,2.61,"Iberville Parish, Louisiana"
1137,22,49,2.49,"Jackson Parish, Louisiana"
1138,22,51,2.57,"Jefferson Parish, Louisiana"
1139,22,53,2.65,"Jefferson Davis Parish, Louisiana"
1140,22,55,2.55,"Lafayette Parish, Louisiana"
1141,22,57,2.68,"Lafourche Parish, Louisiana"
1142,22,59,2.46,"LaSalle Parish, Louisiana"
1143,22,61,2.56,"Lincoln Parish, Louisiana"
1144,22,63,2.79,"Livingston Parish, Louisiana"
1145,22,65,2.55,"Madison Parish, Louisiana"
1146,22,67,2.5,"Morehouse Parish, Louisiana"
1147,22,69,2.66,"Natchitoches Parish, Louisiana"
1148,22,71,2.38,"Orleans Parish, Louisiana"
1149,22,73,2.55,"Ouachita Parish, Louisiana"
1150,22,75,2.7,"Plaquemines Parish, Louisiana"
1151,22,77,2.56,"Pointe Coupee Parish, Louisiana"
1152,22,79,2.68,"Rapides Parish, Louisiana"
1153,22,81,2.54,"Red River Parish, Louisiana"
1154,22,83,2.59,"Richland Parish, Louisiana"
1155,22,85,2.6,"Sabine Parish, Louisiana"
1156,22,87,2.92,"St. Bernard Parish, Louisiana"
1157,22,89,2.83,"St. Charles Parish, Louisiana"
1158,22,91,2.59,"St. Helena Parish, Louisiana"
1159,22,93,2.69,"St. James Parish, Louisiana"
1160,22,95,2.83,"St. John the Baptist Parish, Louisiana"
1161,22,97,2.68,"St. Landry Parish, Louisiana"
1162,22,99,2.77,"St. Martin Parish, Louisiana"
1163,22,101,2.58,"St. Mary Parish, Louisiana"
1164,22,103,2.7,"St. Tammany Parish, Louisiana"
1165,22,105,2.68,"Tangipahoa Parish, Louisiana"
1166,22,107,2.48,"Tensas Parish, Louisiana"
1167,22,109,2.78,"Terrebonne Parish, Louisiana"
1168,22,111,2.6,"Union Parish, Louisiana"
1169,22,113,2.69,"Vermilion Parish, Louisiana"
1170,22,115,2.82,"Vernon Parish, Louisiana"
1171,22,117,2.54,"Washington Parish, Louisiana"
1172,22,119,2.51,"Webster Parish, Louisiana"
1173,22,121,2.61,"West Baton Rouge Parish, Louisiana"
1174,22,123,2.48,"West Carroll Parish, Louisiana"
1175,22,125,3.04,"West Feliciana Parish, Louisiana"
1176,22,127,2.36,"Winn Parish, Louisiana"
1177,25,1,2.24,"Barnstable County, Massachusetts"
1178,25,3,2.22,"Berkshire County, Massachusetts"
1179,25,5,2.53,"Bristol County, Massachusetts"
1180,25,7,2.79,"Dukes County, Massachusetts"
1181,25,9,2.59,"Essex County, Massachusetts"
1182,25,11,2.3,"Franklin County, Massachusetts"
1183,25,13,2.57,"Hampden County, Massachusetts"
1184,25,15,2.36,"Hampshire County, Massachusetts"
1185,25,17,2.56,"Middlesex County, Massachusetts"
1186,25,19,2.62,"Nantucket County, Massachusetts"
1187,25,21,2.58,"Norfolk County, Massachusetts"
